Date,AMZN,AAPL,MSFT,NVDA,META,Total,Daily Returns
2017-04-11,58483.47375243033,25912.916209293817,28006.843455945258,98000.00000000001,35671.12810707457,246074.361524744,-0.001959466887621053
2017-04-12,58081.65910563837,25942.188071716067,27899.914456800685,97200.00000000001,35584.44869343531,244708.21032759047,-0.005551781943833878
2017-04-13,57329.876863253405,25803.146725210398,27780.15397775877,95600.0,35536.01019757807,242049.18776380067,-0.010866094603978249
2017-04-17,58457.550226830856,25949.50603732163,28006.843455945258,99200.0,36053.53728489484,247667.4370049926,0.023211188160128904
2017-04-18,58574.206092028515,25832.418587632637,27968.349016253214,99200.0,35936.26513702996,247511.23883294433,-0.0006306770641193449
2017-04-19,58276.08554763448,25737.285034760338,27818.64841745082,99600.00000000001,36270.23581899299,247702.25481883864,0.0007717467166137304
2017-04-20,58457.550226830856,26059.275521405052,28015.39777587682,101200.0,36660.29318036967,250392.51670448238,0.010860869585588961
2017-04-21,58237.20025923526,26030.0036589828,28400.34217279727,101600.0,36629.700446144045,250897.24653715937,0.002015754461514918
2017-04-24,58807.51782242385,26278.8144895719,28883.661248930708,102800.0,37086.04206500956,253856.03562593603,0.011792832044246637
2017-04-25,58820.4795852236,26439.80973289426,29050.470487596234,104800.0,37346.080305927346,256456.84011164145,0.010245194601312457
2017-04-26,58924.173687621515,26286.132455177463,29011.97604790419,104000.0,37363.926067558954,255586.2082582621,-0.0033948474643933357
2017-04-27,59520.41477640959,26308.08635199415,29200.17108639863,105600.0,37654.557042702356,258283.22925750472,0.010552294733044976
2017-04-28,59948.152948801035,26278.8144895719,29281.437125748504,104400.0,38304.652644996815,258213.05720911827,-0.00027168642961517
2017-05-01,61451.717433570964,26820.34394438346,29687.767322497864,106800.0,38868.06883365201,263627.8975341043,0.020970435746015426
2017-05-02,61373.946856772534,26988.657153311386,29640.71856287425,103600.0,38949.64945825367,260552.97203121183,-0.011663885088241344
2017-05-03,60985.093972780305,26908.159531650206,29546.621043627038,104400.0,38699.808795411096,260539.68334346864,-5.100186591455724e-05
2017-05-04,60764.744005184715,26805.70801317234,29431.1377245509,104000.0,38457.61631612492,259459.20605903288,-0.004147073760780495
2017-05-05,60544.39403758911,27252.103915111602,29512.403763900773,104000.0,38302.103250478016,259611.0049670795,0.0005850588628260045
2017-05-08,61503.564484769944,27991.21844127333,29486.740804106077,102800.0,38511.15360101976,260292.6773311691,0.002625745253657774
2017-05-09,61749.837977965006,28174.167581412374,29529.512403763907,102800.0,38363.28871892925,260616.8066820705,0.0012452495945132203
2017-05-10,61503.564484769944,28035.1262349067,29644.995722840038,121200.0,38314.85022307202,278698.53666558873,0.06938052159305408
2017-05-11,61412.83214517176,28166.849615806812,29281.437125748504,126400.00000000003,38251.115360101976,283512.23424682906,0.01727205904570761
2017-05-12,62307.19377835387,28554.70179290158,29247.219846022243,128000.00000000003,38325.04780114723,286434.16321842495,0.01030618300955588
2017-05-15,62086.84381075826,28481.52213684596,29268.60564585116,134400.0,38289.356277884,292526.3278713394,0.021268987555331353
2017-05-16,62605.314322747894,28444.932308818148,29687.767322497864,136800.0,38184.831102613134,295722.84505667706,0.010927280318999477
2017-05-17,61231.367465975374,27486.278814489575,28862.2754491018,127600.0,36927.979604843844,282107.9013344106,-0.04603953989302745
2017-05-18,62112.767336357756,27903.402854006592,28960.650128314795,133200.0,37644.35946462715,289821.1797833063,0.027341589556374668
2017-05-19,62203.49967595594,28005.854372484457,28952.095808383237,136000.0,37746.335245379225,292907.7851022029,0.010650033655940527
2017-05-22,62903.434867141936,28174.167581412374,29277.159965782725,138800.0,37792.22434671766,296946.98676105466,0.013790011274170677
2017-05-23,62968.243681140644,28137.57775338456,29375.534644995732,137200.0,37748.884639898024,295430.240719419,-0.005107800749822644
2017-05-24,63538.56124432924,28057.08013172338,29414.02908468777,138400.0,38251.115360101976,297660.7858208424,0.007550158358845316
2017-05-25,64381.075826312386,28152.213684595685,29777.587681779303,138400.0,38740.59910771192,299451.4763003993,0.006015876342658988
2017-05-26,64536.61697990927,28100.987925356752,29923.011120615913,142000.0,38783.938814531546,303344.5548404135,0.013000699105282898
2017-05-30,64601.42579390798,28115.62385656788,30115.483319076135,144800.00000000003,38847.673677501596,306480.20664705365,0.01033693124404289
2017-05-31,64458.84640311082,27947.310647639955,29871.68520102652,144400.0,38613.12938177183,305290.97163354914,-0.003880299568167711
2017-06-01,64549.57874270901,28027.808269301135,29982.89136013687,144400.0,38630.97514340344,305591.25351555046,0.0009835924082346459
